,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
2,2010,01.1,Spent solvents,Total,0,0,13.697856766594976,9.1339285159817187,16.319213934567411,693.59193198380535,18.387391014146118,39262.057247601399,9.554548841856775,338.42625578163268,355.76631699286327,82.014550447813036,2.0124658314472947,0.45128912531333892,0,1046.5790031625825,0,41847.991999999998,2010,01.1,Spent solvents,Total,0,0,8436.4869999999992,0,0,0,8436.4869999999992
5,2010,01.2,"Acid, alkaline or saline wastes",Total,0,0,5387.5791994710344,3.3148559471424646,28.71604714834838,11948.970012577105,2342.1069513544157,81603.615186132607,4225.3706198423679,35294.610566288342,7608.8767139969905,1734.2710972129721,54.285807830148372,226.93825306241123,0,14250.475689136107,0,164709.13099999996,2010,01.2,"Acid, alkaline or saline wastes",Total,0,0,893.46900000000005,0,73761.87,0,74655.338999999993
8,2010,01.3,Used oils,Total,21570.796028489436,1442,3709.4167191519955,47.053808899388088,53.66811423203869,2362.4770460622253,3690.5604770921364,31707.813218533727,12047.557541871141,14252.562015877375,5759.9764044889198,2483.9315554088516,19628.215044940851,17.354619870174865,0,46829.907433571112,6258.1129999999994,171861.40302848938,2010,01.3,Used oils,Total,0,0,1472.0309999999995,0,239.09897435897437,1517.6688968992646,3228.7988712582383
11,2010,"01.4, 02, 03.1",Chemical wastes,Total,103009.38743795808,748,552.75002319627788,2833.0867490705796,467.70449579524075,26199.232093111015,6178.540177998837,342341.69174733409,3615.674034573366,70664.160485210246,8812.2916855790718,2052.4224178881359,851.95607136751289,10.074780008501119,0,74431.034238866909,3833.57,646601.57643795782,2010,"01.4, 02, 03.1",Chemical wastes,Total,0,5722,76430.701000000001,0,41482.64092307692,748,124383.34192307692
14,2010,03.2,Industrial effluent sludges,Total,0,1653.4800000000002,49775.954048322914,1883.0631960181061,15.307745482798662,59493.634878963865,996.73414524528505,22267.135845367375,6366.7281753939124,18293.536241189697,2211.4008286225767,153.52662179878084,4871.7785711319148,8904.1472120816561,0,8542.8262703812397,0,185429.25378000009,2010,03.2,Industrial effluent sludges,Total,0,127039,443.18718000000001,0,62225.495999999999,1653.4800000000002,191361.16318
17,2010,03.3,Sludges & liquid wastes from waste treatment,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,03.3,Sludges & liquid wastes from waste treatment,Total,111552,1157,0,0,333336.978,0,446045.978
20,2010,05,Health care & biological wastes,Total,1021.4282542896005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,246828.30499999999,0,247851.7332542896,2010,05,Health care & biological wastes,Total,0,120146,401.15499999999997,0,91081.54,2,211630.69500000001
23,2010,06.1,"Metallic wastes, ferrous",Total,0,0,0,0,0,0,0,0,1434.64,158369.18800000005,0,0,0,0,1386051.9470000009,1441227.5370000002,11510.463999999994,2998593.776000001,2010,06.1,"Metallic wastes, ferrous",Total,0,0,8471005.9630000014,0,2007.08,0,8473013.0430000015
26,2010,06.2,"Metallic wastes, non-ferrous",Total,0,0,0,0,0,0,0,0,0,25829.88900000001,0,0,0,0,138511.32199999993,152135.42799999987,2089.9099999999989,318566.54899999982,2010,06.2,"Metallic wastes, non-ferrous",Total,0,0,1807071.622,0,1184.6010000000001,0,1808256.223
29,2010,06.3,"Metallic wastes, mixed",Total,954.03685442153096,4748,195.53910648701213,23.147801385329924,34.975924063820997,264.3251739583427,48.76702390041374,432.74509408187618,66.752849404818363,4234.320992310978,3141.1815015868883,305.33702586660939,176.68071085519571,5.0230938669381988,837615.50799999991,2334166.5849922374,313184.3383,3499597.2644444271,2010,06.3,"Metallic wastes, mixed",Total,0,0,4627014.0140000004,0,1358.2597179487179,4748,4633120.2737179492
32,2010,07.1,Glass wastes,Total,0,0,734.13174628993454,8.7093970976314168,22.02081887927357,21.35647996114519,1.8293846407140137E-2,348.20115742430079,5231.7735710954785,10.32346518586677,46.498311593443354,11.47301166258484,0.85468952852069358,0,12627.262999999995,317335.32997196267,710729.13499999931,1047127.0889145266,2010,07.1,Glass wastes,Total,0,0,1258655.0866190474,0,8823.36,0,1267478.4466190476
35,2010,07.2,Paper & cardboard wastes,Total,5842.878917262462,0,44652.923424359797,4221.266601625488,1424.5032498999178,954493.19732372253,363.02514817164626,30345.093646953592,4692.8463245950725,9449.1796971179629,31794.04741944285,22406.200794116496,1224.4588749092336,489.32594979472276,0,3815687.1434852914,1233012.1499999994,6160098.2408572622,2010,07.2,Paper & cardboard wastes,Total,53,0,3309029.8501251573,0,1853.4117948717949,0,3310936.2619200293
38,2010,07.3,Rubber wastes,Total,21798.240000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140399.17599999998,8908.5810000000019,171105.99699999997,2010,07.3,Rubber wastes,Total,89619,0,43135.040999999997,0,5686.79,0,138440.83100000001
41,2010,07.4,Plastic wastes,Total,82291.27638520718,0,27127.347932425848,3049.0316553058724,1890.1657692535855,10831.442079869117,4052.2269550555702,68744.48527007697,2073.1571827262669,5961.2874471746591,18095.424318929079,15169.733836102543,559.37810045478659,1950.4112548293697,40917.660000000003,504482.38958865794,85559.912499999904,872755.33027606865,2010,07.4,Plastic wastes,Total,0,0,790289.50394117646,0,48908.758794871799,0,839198.26273604832
44,2010,07.5,Wood wastes,Total,0,0,25014.002945282296,2740.4664096519268,121946.51881022436,49693.602255794234,443.68652988630748,39462.96365597572,5985.981438515264,55620.633901582216,57067.862603438763,26286.49661052354,1376.6685098237247,755.90946926593585,484175.15599999984,1072541.5833600361,616691.53749999963,2559803.0699999998,2010,07.5,Wood wastes,Total,157295,0,2489410.2709999997,0,60931.619999999995,0,2707636.8909999998
47,2010,07.6,Textile wastes,Total,0,0,1603.9031287926302,4660.7810997343167,0,134.29201758289358,0,138.555624623527,0.93374651363962102,57.237168454010025,29.341976004485559,200.18222721724837,14.29683011595392,0,0,2162.2721809612931,116472.30439999973,125474.10039999973,2010,07.6,Textile wastes,Total,0,0,106542.28299999995,0,2243,0,108785.28299999995
50,2010,07.7,Waste containing PCB,Total,0,0,0,0,0,0,0,0,0,0,3974.2220000000007,0,0,0,0,0,0,3974.2220000000007,2010,07.7,Waste containing PCB,Total,0,0,0,0,5.52,0,5.52
53,2010,08*,Discarded equipment,Total,9.3965284301397993,0,1343.8184669347563,2285.5451346308405,52.026958096302067,4328.9397324549482,21.588323146066287,784.57582590469951,473.92991511617981,1321.0951081287467,1486.2613284387076,3770.7212701890958,279.02117549829683,72.648760752867233,0,102754.3590007085,275729.24579999968,394713.17332842981,2010,08*,Discarded equipment,Total,0,0,222979.66200000001,0,6202.33,0,229181.992
56,2010,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200014.5300000005,306.96999999999991,1200321.5000000005,2010,08.1,Discarded vehicles,Total,0,0,315927.071,0,14.2,0,315941.27100000001
