,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
0,2010,01.1,Spent solvents,Hazardous,0,0,13.697856766594976,9.1339285159817187,16.319213934567411,693.59193198380535,18.387391014146118,39262.057247601399,9.554548841856775,338.42625578163268,355.76631699286327,82.014550447813036,2.0124658314472947,0.45128912531333892,0,1046.5790031625825,0,41847.991999999998,2010,01.1,Spent solvents,Hazardous,0,0,8436.4869999999992,0,0,0,8436.4869999999992
1,2010,01.1,Spent solvents,Non-hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,01.1,Spent solvents,Non-hazardous,z,z,z,z,z,z,z
3,2010,01.2,"Acid, alkaline or saline wastes",Hazardous,0,0,2583.0081880073662,1.5892666699683162,13.767553508758073,5728.7858308925606,1585.5468118834533,39123.843639733022,2025.8016642224352,20283.9037794043,3647.9817977845169,831.47481985331126,26.026658899350352,108.80273758014525,0,6832.2142515607911,0,82792.746999999974,2010,01.2,"Acid, alkaline or saline wastes",Hazardous,0,0,30.013999999999999,0,569.4,0,599.41399999999999
4,2010,01.2,"Acid, alkaline or saline wastes",Non-hazardous,0,0,2804.5710114636677,1.7255892771741481,14.948493639590309,6220.1841816845435,756.56013947096244,42479.771546399585,2199.5689556199331,15010.70678688404,3960.8949162124736,902.79627735966073,28.259148930798023,118.13551548226599,0,7418.2614375753155,0,81916.38400000002,2010,01.2,"Acid, alkaline or saline wastes",Non-hazardous,0,0,863.45500000000004,0,73192.47,0,74055.925000000003
6,2010,01.3,Used oils,Hazardous,21570.796028489436,1442,3709.4167191519955,47.053808899388088,53.66811423203869,2362.4770460622253,3690.5604770921364,31707.813218533727,12047.557541871141,14252.562015877375,5759.9764044889198,2483.9315554088516,19628.215044940851,17.354619870174865,0,46829.907433571112,6258.1129999999994,171861.40302848938,2010,01.3,Used oils,Hazardous,0,0,1472.0309999999995,0,239.09897435897437,1517.6688968992646,3228.7988712582383
7,2010,01.3,Used oils,Non-hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,01.3,Used oils,Non-hazardous,z,z,z,z,z,z,z
9,2010,"01.4, 02, 03.1",Chemical wastes,Hazardous,103009.38743795808,740,449.33199417737359,1381.2254991209491,380.19825411526773,21297.426880673698,3920.6819654670035,299676.5115379176,2939.1912366746342,57277.964184780802,7163.5358302787272,1668.4197543607322,659.21213352629889,8.1898160147352268,0,58983.663912892,2159.6600000000003,561714.60043795791,2010,"01.4, 02, 03.1",Chemical wastes,Hazardous,0,5722,1999.105,0,2769.27,740,11230.375
10,2010,"01.4, 02, 03.1",Chemical wastes,Non-hazardous,0,8,103.41802901890424,1451.8612499496305,87.506241679973002,4901.8052124373171,2257.8582125318335,42665.180209416496,676.48279789873175,13386.196300429452,1648.7558553003455,384.0026635274038,192.74393784121398,1.8849639937658915,0,15447.370325974916,1673.9099999999999,84886.975999999981,2010,"01.4, 02, 03.1",Chemical wastes,Non-hazardous,0,0,74431.596000000005,0,38713.370923076924,8,113152.96692307692
12,2010,03.2,Industrial effluent sludges,Hazardous,0,1610.8200000000002,5902.8030229622627,123.20180271256831,1.8153063670639036,6897.1057241759354,126.70139066985577,2731.2841439068447,218.84190141068748,2139.564113370734,262.24436569316555,18.206329232368805,380.67060785045265,1055.9200337848165,0,1013.0719078632474,0,22482.250650000002,2010,03.2,Industrial effluent sludges,Hazardous,0,127039,0,0,2615.0700000000002,1610.8200000000002,131264.89000000001
13,2010,03.2,Industrial effluent sludges,Non-hazardous,0,42.660000000000004,43873.151025360654,1759.8613933055378,13.492439115734758,52596.529154787931,870.03275457542929,19535.851701460531,6147.8862739832248,16153.972127818963,1949.156462929411,135.32029256641204,4491.1079632814617,7848.2271782968392,0,7529.7543625179915,0,162947.00313000011,2010,03.2,Industrial effluent sludges,Non-hazardous,0,0,443.18718000000001,0,59610.425999999999,42.660000000000004,60096.273180000004
